"1","Afghanistan","Afghani"
"2","Albania","Lek"
"3","Algeria","Algerian Dinar"
"4","Andorra","Euro"
"5","Angola","Kwanza"
"6","Antigua and Barbuda","East Caribbean Dollar"
"7","Argentina","Argentine Peso"
"8","Armenia","Dram"
"9","Australia","Australian Dollar"
"10","Austria","Euro"
"11","Azerbaijan","Manat"
"12","Bahrain","Bahraini Dinar"
"13","Bangladesh","Taka"
"14","Barbados","Barbadian Dollar"
"15","Belarus","Belarusian Ruble"
"16","Belgium","Euro"
"17","Belize","Belize Dollar"
"18","Benin","West African CFA Franc"
"19","Bhutan","Ngultrum"
"20","Bolivia","Boliviano"
"21","Bosnia and Herzegovina","Convertible Mark"
"22","Botswana","Pula"
"23","Brazil","Real"
"24","Brunei","Brunei Dollar"
"25","Bulgaria","Lev"
"26","Burkina Faso","West African CFA Franc"
"27","Burundi","Burundi Franc"
"28","Cambodia","Riel"
"29","Cameroon","Central African CFA Franc"
"30","Canada","Canadian Dollar"
"31","Cape Verde","Cape Verdean Escudo"
"32","Central African Republic","Central African CFA Franc"
"33","Chad","Central African CFA Franc"
"34","Chile","Chilean Peso"
"35","China","Chinese Yuan"
"36","Colombia","Colombian Peso"
"37","Comoros","Comorian Franc"
"38","Costa Rica","Colon"
"39","Cote d'Ivoire (Ivory Coast)","West African CFA Franc"
"40","Croatia","Croatian"
"41","Cuba","Cuban Peso"
"42","Cyprus","Euro"
"43","Czech Republic","Czech Koruna"
"44","Democratic Republic Of the Congo","Congolese Franc"
"45","Denmark","Danish Krone"
"46","Djibouti","Djiboutian Franc"
"47","Dominica","East Caribbean Dollar"
"48","Dominican Republic","Dominican Peso"
"49","East Timor (Timor-Leste)","United States Dollar"
"50","Ecuador","United States Dollar"
"51","Egypt","Egyptian Pound"
"52","El Salvador","United States Dollar"
"53","Equitorial Guinea","Central African CFA Franc"
"54","Eritrea","Nakfa"
"55","Estonia","Estonian Kroon; Euro"
"56","Ethiopia","Birr"
"57","Federal States of Micronesia","United States Dollar"
"58","Fiji","Fijian Dollar"
"59","Finland","Euro"
"60","France","Euro; CFP Franc"
"61","Gabon","Central African CFA Franc"
"62","Georgia","Lari"
"63","Germany","Euro"
"64","Ghana","Ghanaian Cedi"
"65","Greece","Euro"
"66","Grenada","East Caribbean Dollar"
"67","Guatemala","Quetzal"
"68","Guinea","Guinean Franc"
"69","Guinea-Bissau","West African CFA Franc"
"70","Guyana","Guyanese Dollar"
"71","Haiti","Gourde"
"72","Honduras","Lempira"
"73","Hong Kong","Hong Kong Dollar"
"74","Hungary","Forint"
"75","Iceland","Icelandic Krona"
"76","India","Indian Rupee"
"77","Indonesia","Rupiah"
"78","Iran","Rial"
"79","Iraq","Iraqi Dinar"
"80","Ireland","Euro"
"81","Israel","Shekel"
"82","Italy","Euro"
