"27","Food & Beverage","Alcoholic Beverages","Beer, Wine, Distilled Spirits, Fortified Wines, Wine Coolers, Pre-Mixed Cocktails. Includes non-alcoholic beer and non-alcoholic wine."
"2","Animal","Animal Accessories","Animal toys, pet wearables/clothing, collars (including dog training collars), leashes, crate liners, blankets. Aquarium decor and pumps, heaters, feeding accessories. Habitat and animal thermometers."
"3","Animal","Animal Food","Animal food (includes pet food), animal snacks, animal training treats."
"4","Animal","Animal Health & Grooming","Animal health supplements, nutritional supplements, animal pharmaceutical, animal grooming accessories, animal waste removal accessories, animal house-breaking sprays."
"1","Animal","Animal Other","Pet, equestrian, livestock and animal products. Animal housing and carriers, including animal strollers."
"5","Art & Craft","Art & Craft","Crafting, sewing/knitting and art supplies. Collectibles and display accessories. Craft/school glues (glue sticks, white glue, glitter glue, paste). Gift/crafting tape. Art, craft, modelling paint and associated paint applicators and tools."
"7","Baby","Baby Clothing","Baby and toddler clothing. Includes baby/toddler socks. Baby/toddler shoes; booties, crib shoes, walkers."
"8","Baby","Baby Food","Formula, baby food and nutrition."
"9","Baby","Baby Furniture","Feeding high chairs, booster seats, cribs, pack-n-play/travel cribs, bassinets, nonwearable baby transport (baby baskets, baby seats), toddler beds, changing tables, bouncy chairs, baby swings, crib padding and accessories, etc."
"6","Baby","Baby Other","Baby and toddler products."
"10","Baby","Baby Toys","Baby, pre-walker, and toddler toys (pacifiers, teethers, rattles, mobiles, play mats, baby gyms, etc)."
"11","Baby","Baby Transport","Automobile child seats. Strollers. Bicycle and other vehicle child seats. Wearable baby carriers (slings, baby backpacks, wearable baby harnesses, etc)."
"38","Home","Bedding","Sheets, mattress pads, blankets, pillowcases, duvets, duvet covers, etc."
"41","Media","Books & Magazines","Books (including audio books and e-books), magazines (including digital and online magazines), print media and electronic media, blank journals and diaries."
"68","Tools & Hardware","Building Supply","Roofing, lumber, molding, windows, doors, etc. Sealers, caulk, professional glues/adhesives (epoxy, super glue, wood glue, etc), and professional tape (DIY tape, duct tape, painting/masking tape, electrical tape, etc). Household and vehicle paint. Paint/varnish additives, removers/cleaners."
"61","Photography","Cameras & Lenses","Analog, digital and video cameras. Lenses, filters and photography optics."
"12","Carriers & Accessories","Carriers & Accessories","Carriers, holders, luggage, and travel accessories (luggage tags, baggage trollies)."
"13",,"Cases & Bags","Handbags, backpacks, cases, bags, wallets, and their related accessories. Electronics and camera cases and bags OK."
"16","Electronics","Cell Phones","Cell phones and smart phones only."
"49","Occasion & Seasonal","Ceremonial Clothing & Accessories","Cultural garb. Wedding Dresses, Quinceanera Dresses, Flower Girl Dresses, Bridal Headpieces, Christening & Baptism Outfits, Graduation Gowns."
"56","Other","Cleaning & Chemical","Home and domestic cleaning, professional cleaning, janitorial, office cleaning, home cleaning, pest control."
"14","Clothing","Clothing","Outerwear, underwear, swimwear, handwear, headwear, neckwear, socks, and hosiery/tights. Sport and recreation clothing, sport fan-wear and activewear included. Protective clothing included. Clothing components included. Fashion and clothing accessories included. Umbrellas and unpowered, hand-held fans included."
"17","Electronics","Computer Components","Hard drives (internal and external). Computer internal hardware (memory, hard drives, motherboards, CPUs, ribbon cabling, etc)."
"18","Electronics","Computers","Desktops, laptops and tablet devices."
"50","Occasion & Seasonal","Costumes","Costumes and accessories for Halloween, dress-up, historical re-creation and cosplay."
"64","Sport & Recreation","Cycling","Bikes, cycling accessories (includes bicycle tires and bicycle safety equipment)."
"51","Occasion & Seasonal","Decorations & Favors","Party Supply, Seasonal Home Decor, Party & Wedding Invitations, Cake Toppers, Favors & Wedding Accessories."
"69","Tools & Hardware","Electrical","Lighting/electrical. Electrical wire, switches, circuit breakers, lighting fixtures, lamps, light bulbs, lamp shades, etc. Includes cable ties & cable accessories."
"19","Electronics","Electronics Accessories","Accessories for primary consumer electronics; headphones, input devices (keyboards, mice, drawing tablets, styluses, etc). Includes cell phone accessories (including phone cases) and miscellaneous computer accessories and peripherals. Includes TV mounts and brackets. Blank media (tapes, DVD-Rs, etc)."
"20","Electronics","Electronics Cables","Cords and cables for electronics. Power cords, video and audio cabling (including pro audio and general a/v cabling and connectors). Computer cabling (ribbon cables, USB cables, etc). Audio and video adapters, extension cables and power adapters included."
"15","Electronics","Electronics Other","Consumer electronics. Traditional phones (non-cellular, non-smart), smart watches, audio electronics (home audio, speakers, vehicle/car audio) and video electronics. Includes office electronics/machines. Computer networking equipment (network switches, network routers, repeaters, network hubs, etc.). Video game consoles, handheld video game devices, and video game accessories."
