"51","A.S. Watson Group","Hong Kong SAR","Drug Store/Pharmacy","25"
"248","Abercrombie & Fitch Co.","US","Apparel/Footwear Specialty","22"
"193","Academy Ltd. (dba Academy Sports + Outdoors)","US","Other Specialty","1"
"100","Advance Auto Parts","US","Other Specialty","3"
"14","Aeon Co.","Japan","Hypermarket/Supercenter/Superstore","12"
"159","Agrokor d.d.","Croatia","Supermarket","5"
"17","Albertsons Companies","US","Supermarket","1"
"8","Aldi Einkauf GmbH & Co. oHG","Germany","Discount Store","17"
"10","Amazon.com","US","Non-Store","14"
"247","American Eagle Outfitters","US","Apparel/Footwear Specialty","29"
"33","Apple Inc. / Apple Retail Stores","US","Electronics Specialty","19"
"216","Arcs Co.","Japan","Supermarket","1"
"134","Army and Air Force Exchange Service (AAFES)","US","Convenience/Forecourt Store","33"
"189","Ascena Retail Group","US","Apparel/Footwear Specialty","2"
"117","Associated British Foods plc / Primark","UK","Apparel/Footwear Specialty","10"
"16","Auchan Holding SA (formerly Groupe Auchan SA)","France","Hypermarket/Supercenter/Superstore","14"
"93","AutoZone","US","Other Specialty","4"
"164","Axel Johnson AB / Axfood  Axstores","Sweden","Hypermarket/Supercenter/Superstore","4"
"215","Barnes & Noble","US","Other Specialty","1"
"165","Bauhaus GmbH & Co. KG","Germany","Home Improvement","19"
"79","Bed Bath and Beyond Inc.","US","Other Specialty","4"
"140","Beisia Group Co.","Japan","Home Improvement","1"
"213","Belk","US","Department Store","1"
"145","Belle International Holdings Limited","Hong Kong SAR","Apparel/Footwear Specialty","2"
"177","Berkshire Hathaway Inc. / Retailing operations","US","Other Specialty","9"
"25","Best Buy Co.","US","Electronics Specialty","4"
"227","BGFretail Co.","S. Korea","Convenience/Forecourt Store","2"
"142","Bic Camera Inc.","Japan","Electronics Specialty","1"
"178","Big Lots","US","Discount Store","1"
"147","BiM Birle§ik Magazalar A.5.","Turkey","Discount Store","3"
"75","BJ's Wholesale Club","US","Cash & Carry/Warehouse Club","1"
"179","Burlington Stores","US","Department Store","2"
"124","C&A Europe","Belgium/ Germany","Apparel/Footwear Specialty","20"
"112","Canadian Tire Corporation  Limited","Canada","Other Specialty","1"
"7","Carrefour S.A.","France","Hypermarket/Supercenter/Superstore","35"
"19","Casino Guichard-Perrachon S.A.","France","Hypermarket/Supercenter/Superstore","31"
"57","Cencosud S.A.","Chile","Supermarket","5"
"138","Central Group","Thailand","Department Store","6"
"26","Centres Distributeurs E. Leclerc","France","Hypermarket/Supercenter/Superstore","7"
"54","China Resources Vanguard Co.","China","Hypermarket/Supercenter/Superstore","1"
"192","Chongqing Department Store Co.","China","Department Store","1"
"128","Chow Tai Fook Jewellery Group Limited","Hong Kong SAR","Other Specialty","8"
"87","Co-operative Group Ltd.","UK","Supermarket","1"
"232","Coach","US","Other Specialty","34"
"120","Colruyt Group","Belgium","Supermarket","3"
"141","Compagnie Financiere Richemont SA","Switzerland","Other Specialty","56"
"77","Conad Consorzio Nazionale  Dettaglianti Soc. Coop. a.r.l.","Italy","Supermarket","3"
"167","Coop Danmark A/S","Denmark","Supermarket","2"
"45","Coop Group","Switzerland","Supermarket","6"
"76","Coop Italia","Italy","Hypermarket/Supercenter/Superstore","1"
"184","Coop Norge  the Group","Norway","Supermarket","1"
"228","Coop Sverige AB","Sweden","Supermarket","1"
"156","Coppel S.A. de C.V.","Mexico","Department Store","3"
"230","Cosmos Pharmaceutical Corp.","Japan","Drug Store/Pharmacy","1"
"2","Costco Wholesale Corporation","US","Cash & Carry/Warehouse Club","10"
"81","CP ALL Plc.","Thailand","Convenience/Forecourt Store","1"
"12","CVS Health Corporation","US","Drug Store/Pharmacy","3"
"85","Dairy Farm International Holdings Limited","Hong Kong SAR","Supermarket","11"
"115","Dansk Supermarked A/S","Denmark","Discount Store","4"
"218","Darty plc","UK","Electronics Specialty","3"
"195","Dashang Co.","China","Department Store","1"
"250","DCM Holdings Co.","Japan","Home Improvement","1"
"241","Debenhams plc","UK","Department Store","27"
"94","Decathlon S.A.","France","Other Specialty","30"
"169","Defense Commissary Agency (DeCA)","US","Supermarket","13"
"180","Deichmann SE","Germany","Apparel/Footwear Specialty","24"
"34","Delhaize Group SA (now Ahold Delhaize)","Belgium","Supermarket","7"
"190","Demoulas Super Markets (dba Market Basket)","US","Supermarket","1"
"129","Dick's Sporting Goods","US","Other Specialty","1"
"143","Dillard's","US","Department Store","1"
"111","Dirk Rossmann GmbH","Germany","Drug Store/Pharmacy","6"
"99","Distribuidora Internacional de Alimentacion  S.A. (Dia  S.A.)","Spain","Discount Store","5"
"66","Dixons Carphone plc","UK","Electronics Specialty","10"
"106","dm-drogerie markt GmbH + Co. KG","Germany","Drug Store/Pharmacy","12"
"50","Dollar General Corporation","US","Discount Store","1"
"62","Dollar Tree","US","Discount Store","2"
"150","Don Quijote Holdings Co. (formerly Don Quijote Co.)","Japan","Discount Department Store","2"
"152","Dufry AG","Switzerland","Other Specialty","63"
"86","E-MART Inc.","S. Korea","Hypermarket/Supercenter/Superstore","3"
"173","E.Land World Ltd.","S. Korea","Apparel/Footwear Specialty","3"
"18","Edeka Group","Germany","Supermarket","1"
"166","Edion Corporation","Japan","Electronics Specialty","1"
"73","El Corte Ingles  S.A.","Spain","Department Store","9"
"183","El Puerto de Liverpool  S.A.B. de C.V.","Mexico","Department Store","1"
"153","Emke Group / Lulu Group International","UAE","Hypermarket/Supercenter/Superstore","9"
"53","Empire Company Limited","Canada","Supermarket","1"
"125","Esselunga S.p.A.","Italy","Hypermarket/Supercenter/Superstore","1"
"245","FamilyMart Co.","Japan","Convenience/Forecourt Store","7"
"67","Fast Retailing Co.","Japan","Apparel/Footwear Specialty","31"
"102","FEMSA Comercio  S.A. de C.V.","Mexico","Convenience/Forecourt Store","3"
"202","Foodstuffs North Island Ltd.","New Zealand","Supermarket","1"
"126","Foot Locker","US","Apparel/Footwear Specialty","30"
"201","Forever 21","US","Apparel/Footwear Specialty","48"
"104","GameStop Corp.","US","Other Specialty","15"
"101","Giant Eagle","US","Supermarket","1"
"122","Globus Holding GmbH & Co. KG","Germany","Hypermarket/Supercenter/Superstore","4"
"69","Gome Home Appliance Group","China","Electronics Specialty","1"
"244","Grandvision N.V.","Netherlands","Other Specialty","44"
"55","Groupe Adeo SA","France","Home Improvement","12"
"205","Groupe FNAC S.A.","France","Other Specialty","9"
"186","Grupo Comercial Chedraui  S.A.B. de C.V.","Mexico","Hypermarket/Supercenter/Superstore","2"
"168","Grupo Eroski","Spain","Supermarket","3"
"188","Gruppo Eurospin","Italy","Discount Store","2"
"174","GS Retail Co.","S. Korea","Convenience/Forecourt Store","1"
"47","H & M Hennes & Mauritz AB","Sweden","Apparel/Footwear Specialty","61"
"44","H.E. Butt Grocery Company","US","Supermarket","2"
"132","H2O Retailing Corporation","Japan","Department Store","2"
"203","Hermes International SCA","France","Apparel/Footwear Specialty","48"
"229","Hobby Lobby Stores","US","Other Specialty","1"
"148","Home Retail Group plc","UK","Non-Store","2"
"163","Homeplus Co.","S. Korea","Hypermarket/Supercenter/Superstore","1"
"225","HORNBACH Baumarkt AG Group","Germany","Home Improvement","9"
"236","HSN","US","Non-Store","1"
"114","Hudson's Bay Company","Canada","Department Store","9"
"105","Hy-Vee","US","Supermarket","1"
"83","ICA Gruppen AB","Sweden","Supermarket","5"
"220","Iceland Topco Limited","UK","Supermarket","7"
